"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"E-CURD-1-fpkms_median.tsv","RNAseq_fpkms_median",56,30445,1,55,1.78571428571429,98.2142857142857,4.87107899490885,99.9704384956479,29.281373906107,100,100,-0.0152426520847573,0.911122533484168,-0.809105342324991,0,2.41697052861943,2.8073549220576,-3.32192809488736,20.5179749658897,7.20710779152274,1.15735835094134,7.45485640870291,-0.217825408203209,-0.234071443964633,0.191637055688178,0.167251426814788,NA,123,2.65889720760041,NA,0.0624418637364096,-0.0279466566935546,0.766830087486516,123,2.05509596106711,2.45839966952014,NA,55,2758,0
"E-CURD-26-fpkms_median.tsv","RNAseq_fpkms_median",11,18254,1,11,0,90.9090909090909,23.9673496220007,51.5996493919141,41.7846150781398,74.7288265585625,100,-0.681818181818182,0.0254755837807706,-0.511491457270827,0,3.76570604386359,3.58496250072116,-3.32192809488736,15.8952439167275,3.96509365334842,0.725043577323854,4.10633527875333,1.57420858226321,0.587274917245661,0.435632759538308,0.148999012372867,NA,123,1.01541681727901,NA,-0.115246598788006,0.0169593335399932,0.835839426845389,123,0.730977680261065,1.27615387539762,NA,11,1732,0
"E-CURD-27-fpkms_median.tsv","RNAseq_fpkms_median",15,25268,1,15,0,93.3333333333333,12.620706031344,89.3422510685452,28.2106485145903,89.7300933987652,100,0.0607142857142857,0.832426178918743,-0.762445255830141,0,1.99110080331875,2,-3.32192809488736,14.1329013148895,6.53829254304878,0.851259946750248,6.65352768097962,0.39480058225551,0.434505428130449,0.610968177953655,0.126979253473619,NA,123,1.41047853194578,NA,0.0495745999929952,-0.0181291740472032,0.915691630221283,123,2.01311459293098,2.33338600441513,NA,15,1775,0
"E-ENAD-1-fpkms_median.tsv","RNAseq_fpkms_median",20,23172,1,20,0,95,11.0391852235457,16.1531158294493,12.7964785085448,29.0997755912308,100,-0.0902255639097744,0.70483738860394,-0.705750824854189,0,2.69414786894162,3,-3.32192809488736,15.1120321844262,7.52382334758496,0.575535398011652,7.5152284964026,-0.285430675282107,-0.113521246425736,0.308635411388936,0.118230772900588,NA,123,0.287415964930711,NA,-0.0314685727318757,-0.010396617074349,0.717450401296309,123,0.384721103295766,0.726512665520761,NA,20,1859,0
"E-ENAD-2-fpkms_median.tsv","RNAseq_fpkms_median",10,22310,1,10,0,90,9.86104885701479,16.006275212909,13.8641864634693,27.6557597489915,100,0.418181818181818,0.232418098250503,-0.711113842695542,0,2.41838707572389,2.8073549220576,-3.32192809488736,14.609582765481,8.41260915976044,0.352055643100403,8.43164558494919,-0.404524413098607,-0.196574201493301,0.414161345600345,0.136258153872728,NA,123,0.887037870601759,NA,-0.0209409499176064,-0.021486386098754,0.82625490700842,123,0.281124137526214,0.223692980586259,NA,10,1376,0
"E-ENAD-25-fpkms_median.tsv","RNAseq_fpkms_median",6,30848,1,6,0,83.3333333333333,14.1727178423237,35.9537085062241,23.1181924273859,44.7127852697095,100,-0.885714285714286,0.0333333333333333,-0.735792129401839,0,1.5154066276416,1.58496250072116,-3.32192809488736,14.6176396417289,8.17457020166203,1.46620563472777,8.35100065771131,-0.349954537750203,0.181918161279254,0.579124838539637,0.203091677294263,NA,123,1.21873509929917,NA,0.174427544379079,-0.0714659088208946,0.897776589658134,123,0.687273563182413,0.693797531416456,NA,6,1222,0
"E-ENAD-33-fpkms_median.tsv","RNAseq_fpkms_median",106,42062,1,106,0,99.0566037735849,38.8260187342494,55.2969426085303,46.74059317647,68.2991774047834,100,0.8036728216238,0,-0.794443686369789,0,0.740472792389594,1,-3.32192809488736,14.4983506079296,7.38860461906083,0.47794965356065,7.43611765937541,-0.730268906907054,0.16996823000234,0.244075706416302,0.148886660084956,NA,123,0.189590408501174,NA,0.0683510843682207,-0.0442552768385638,0.710605189998155,123,0.276725180554525,0.468547410631848,NA,106,2634,0
"E-ENAD-34-fpkms_median.tsv","RNAseq_fpkms_median",11,32457,1,11,0,90.9090909090909,19.0744677573405,34.9878300520689,25.2109784414064,49.4562035924454,100,-0.572727272727273,0.0706011110697353,-0.652704635584651,0,0.519297635268916,0,-3.32192809488736,16.4763981434162,6.99418325347813,0.636639338463447,7.09679008082681,-0.435437759864604,0.351675741880519,0.645947582800745,0.275217149610083,NA,123,2.36795375836793,NA,0.336739927398802,-0.0740301194825152,0.917311194697582,123,0.592549183768105,0.583354371971201,NA,11,838,0
"E-ENAD-35-fpkms_median.tsv","RNAseq_fpkms_median",191,47197,1,191,0,99.4764397905759,39.8542280229676,63.4171663453186,49.0622185477003,76.6616522236583,100,0.798320988462951,1.71814865821968e-43,-0.758384851703369,0,0.527517081664562,0,-3.32192809488736,15.176640671134,8.18206692823241,0.326162648900774,8.15652881207941,-0.824699531958465,0.291325587499953,0.161254648929942,0.102296925904509,NA,123,2.42536953835056,NA,0.0495760103714413,-0.0254803879906758,0.70712511437056,123,0.274810838020918,0.307422192622496,NA,191,3188,0
"E-ENAD-41-fpkms_median.tsv","RNAseq_fpkms_median",89,26853,1,89,0,98.876404494382,28.5927084497077,48.7133653595501,39.1985160990947,56.6305440732879,100,0.951493664860783,2.60148792880872e-46,-0.803405078329826,0,1.34759733651695,1.58496250072116,-3.32192809488736,14.9714986486503,7.43426413033488,0.252466834524873,7.45234164390582,-0.545368718101857,0.0364375389772684,0.287561596828758,0.0620324847445249,NA,123,0.192437606721889,NA,-0.0161640005466385,-0.0130794163044553,0.717628842791373,123,0.367064458186896,0.615942350157909,NA,89,2581,0
