"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"E-CURD-1-tpms_median.tsv","RNAseq_tpms_median",56,30504,1,56,0,98.2142857142857,4.9042748492001,99.9704956726987,28.6133434491027,99.996721741411,100,0.0408065618591934,0.764688783029387,-0.813167397353868,0,3.01233271200352,3.4594316186373,-3.32192809488736,18.4770665036288,7.5142363842506,1.32936314029506,8.01830304650714,-0.193481606596502,-0.313818640195605,0.22020158119633,0.163263607558633,NA,123,2.78864510028082,NA,0.0640997819492414,-0.0300420770781488,0.845253657033955,123,1.94197429891221,2.44611514606051,NA,55,3576,0
"E-CURD-26-tpms_median.tsv","RNAseq_tpms_median",11,18254,1,11,0,90.9090909090909,23.9673496220007,51.5996493919141,41.7846150781398,74.7288265585625,100,-0.672727272727273,0.0280703042358757,-0.507356407527897,0,4.14900515939843,4,-2.32192809488736,16.2501133312394,4.02468874012052,0.734911969935558,4.10591801299642,1.5590275291952,0.589349717265327,0.438003847608783,0.149972024881479,NA,123,1.00469454543809,NA,-0.115308165775788,0.0156461277015672,0.835936304954182,123,0.721877150749148,1.20768472432783,NA,11,1964,0
"E-CURD-27-tpms_median.tsv","RNAseq_tpms_median",15,25299,1,15,0,93.3333333333333,12.7001067235859,89.3553104865805,28.0517016482865,89.7308193999763,100,0.025,0.933604324829569,-0.759263227445646,0,2.60362729561805,2.58496250072116,-3.32192809488736,14.7622262989746,6.67641626033359,0.895902181618376,6.81257247036187,0.416525866006546,0.37407703282663,0.608138164922726,0.125831815250181,NA,123,1.40783865753682,NA,0.000774076057342213,-0.0120575666578451,0.91855707053577,123,2.05400100136471,2.44138287473852,NA,15,2203,0
"E-ENAD-1-tpms_median.tsv","RNAseq_tpms_median",20,23181,1,20,0,95,10.9313662050817,16.172727664898,12.7740390837324,29.0539666105863,100,-0.117293233082707,0.621381283133055,-0.704336528347714,0,3.13917839261253,3.32192809488736,-3.32192809488736,15.5491529295056,7.56262127679483,0.59191533864557,7.58367195207118,-0.260357387855488,-0.132059471501436,0.317781515221453,0.115878588012317,NA,123,0.299375150847433,NA,-0.0302580149380564,-0.0100478026855881,0.710654681727803,123,0.425291072986908,0.801227193357985,NA,20,2205,0
"E-ENAD-2-tpms_median.tsv","RNAseq_tpms_median",10,22504,1,10,0,90,9.72715961606825,15.8460718094561,13.650462140064,27.3329185922503,100,0.393939393939394,0.26288678352469,-0.704736154780684,0,3.02318147272495,3.4594316186373,-3.32192809488736,15.2706238380389,8.97219709606756,0.378353336695414,8.99805929179658,-0.354783351520208,-0.269780984248941,0.406779200165053,0.139180063582391,NA,123,0.353513153078812,NA,-0.0240848497692992,-0.0204528306025842,0.818509435374098,123,0.323698744777534,0.292303605504843,NA,10,1880,0
"E-ENAD-25-tpms_median.tsv","RNAseq_tpms_median",6,31119,1,6,0,83.3333333333333,14.6245059288538,35.6309650053022,22.8933020555502,44.6479642662039,100,-0.942857142857143,0.0166666666666667,-0.736709756149946,0,2.08045618175775,2.32192809488736,-3.32192809488736,15.1373914492476,8.66466926272266,1.602248003852,8.81226808000133,-0.370378554948705,0.115521713052288,0.582706645948925,0.205552992291177,NA,123,1.16352543928052,NA,0.192522359947666,-0.0707569502008509,0.891874591059714,123,0.851154088863781,1.17072747735077,NA,6,1532,0
"E-ENAD-33-tpms_median.tsv","RNAseq_tpms_median",106,43762,1,106,0,99.0566037735849,33.8718522919428,55.3836661944152,45.7063421095066,67.5860335450848,100,0.759802402708919,3.65107963434058e-21,-0.726999628439955,0,2.29049920668156,2.32192809488736,-3.32192809488736,15.9772799234999,8.79793610207087,0.674055183435416,9.1237627352785,-0.736077120812709,0.00476956668593589,0.24005610196358,0.140129194564743,NA,123,0.159953067416829,NA,0.0784476142257917,-0.0301602285991,0.761628095017144,123,0.522357683170312,1.11177859496272,NA,106,4594,0
"E-ENAD-34-tpms_median.tsv","RNAseq_tpms_median",11,34684,1,11,0,90.9090909090909,16.771421981317,32.6432937377465,23.8425367735713,47.2090877638104,100,-0.536363636363636,0.0936424967223946,-0.647791561259663,0,1.74204119832798,1.58496250072116,-3.32192809488736,18.0057177407049,9.06617216913396,0.837368709564087,9.0033253830942,-0.579126914393265,0.15169798701149,0.645179459464273,0.274527110213233,NA,123,2.1310796857953,NA,0.409759943987894,-0.0729816599653398,0.910279485897572,123,0.575060309218841,0.444482280164922,NA,11,1503,0
"E-ENAD-35-tpms_median.tsv","RNAseq_tpms_median",191,49196,1,191,0,99.4764397905759,37.740873241727,62.0050410602488,46.7341340908404,75.6809496707049,100,0.665185541114828,9.1114622771505e-26,-0.665112565608879,0,1.94668280054961,2,-3.32192809488736,16.3480019219185,10.1608038395896,0.456302232337275,10.1382792751497,-0.862644105114678,0.155444052049733,0.17481156985843,0.0968478658727776,NA,123,2.26269693130247,NA,0.0489139799274057,-0.0148047842295293,0.707920236357701,123,0.397261980276311,0.68072164290078,NA,191,6248,0
"E-ENAD-41-tpms_median.tsv","RNAseq_tpms_median",89,27779,1,89,0,98.876404494382,25.2276899816408,50.0089996040174,39.2168362569575,57.4138737895533,100,0.930434079503143,1.07580578621061e-39,-0.776416464302722,0,3.00426416648064,3.32192809488736,-3.32192809488736,16.5841110500491,8.52305388572525,0.359038812982132,8.66435690929018,-0.48029214038475,-0.130179326945931,0.299855729007221,0.0616847450590289,NA,123,0.180490125352996,NA,-0.048218135074578,-0.00642043697043111,0.809820972153284,123,0.609721932277808,1.20155708067714,NA,89,4821,0
