"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"MTBLS10_m_mtbls10_metabolite_profiling_mass_spectrometry_v2_maf.tsv","metabolomics_MS",30,1496,22,30,0,26.6666666666667,0,0.467914438502674,0.158199643493761,2.40641711229947,86.6666666666667,-0.591679163444616,0.000573597859918784,-0.200428523774059,5.06607628190881e-15,12.7757970541865,12.6500339092594,-3.29770913833069,21.2282861522785,3.43078156645459,0.398845412726183,3.52363985173492,1.60675097396157,0.173751522670112,0.38096028464162,0.115134557940339,1.03978076098012,123,0.923347222143242,NA,-2.55437251723643,0.084855189345361,0.863711213629165,123,3.87031628247418,5.46530134908083,NA,24,44742,0
"MTBLS1015_m_MTBLS1015_GC-MS___metabolite_profiling_v2_maf.tsv","metabolomics_MS",133,26,100,133,0,24.812030075188,0,7.69230769230769,1.53267784846732,11.5384615384615,34.5864661654135,0.224964833803589,0.0092306573546443,-0.129974191499692,0.526838141965743,-0.269387900348428,-0.276644849933295,-4.44200092326925,7.00613918179396,2.56318325338297,0.179238175194675,2.58797237403768,1.49750694909186,0.857136470662396,0.391814970534473,0.15171647326692,1.64977769172333,NA,1.17670526261172,NA,0.0516397154460972,0.0378213107537596,0.911747825105477,123,4.27631595849707,4.99497161078547,NA,17,3405,0
"MTBLS1015_m_MTBLS1015_LC-MS___metabolite_profiling_v2_maf.tsv","metabolomics_MS",138,658,126,138,0,8.69565217391304,0,1.82370820668693,0.0660763843002511,3.64741641337386,13.768115942029,-0.540804201450306,7.52847054230773e-12,0.00618921977255148,0.874092376039394,9.08575490705546,9.3671963093643,-4.05889368905357,20.3694300491611,8.58341886981928,1.34058003431766,9.34368822209952,0.539698642844132,-0.370161882252519,0.534734634548949,0.0893744278896484,1.41872318891715,NA,1.03459096366331,NA,-0.183831369512254,0.00686909474907813,0.933311049990559,123,0,0,NA,0,71740,0
"MTBLS103_m_ibanez_02_HILIC_mass_spectrometry_v2_maf.tsv","metabolomics_MS",32,13,32,32,0,0,0,0,0,0,0,NA,NA,NA,NA,17.2285125150892,18.1157936468252,8.0437472360258,22.8770207399488,11.1845645426073,1.00013627198301,11.7898568226848,-0.27083745865649,-0.715752450712498,0.698004147100929,0.17210894249182,1.95364081076803,NA,1.40492556080169,NA,-1.48122191899155,0.0323373735640919,0.849226355571562,123,NA,NA,NA,NA,416,0
"MTBLS103_m_ibanez_02_metabolite_profiling_mass_spectrometry_v2_maf.tsv","metabolomics_MS",32,13,32,32,0,0,0,0,0,0,0,NA,NA,NA,NA,17.2285125150892,18.1157936468252,8.0437472360258,22.8770207399488,11.1845645426073,1.00013627198301,11.7898568226848,-0.27083745865649,-0.715752450712498,0.698004147100929,0.17210894249182,1.95364081076803,NA,1.40492556080169,NA,-1.48122191899155,0.0323373735640919,0.849226355571562,123,NA,NA,NA,NA,416,0
"MTBLS103_m_ibanez_02_RP_LC_mass_spectrometry_v2_maf.tsv","metabolomics_MS",32,13,32,32,0,0,0,0,0,0,0,NA,NA,NA,NA,17.2285125150892,18.1157936468252,8.0437472360258,22.8770207399488,11.1845645426073,1.00013627198301,11.7898568226848,-0.27083745865649,-0.715752450712498,0.698004147100929,0.17210894249182,1.95364081076803,NA,1.40492556080169,NA,-1.48122191899155,0.0323373735640919,0.849226355571562,123,NA,NA,NA,NA,416,0
"MTBLS1040_m_mtbls1040_metabolite_profiling_mass_spectrometry_v2_maf.tsv","metabolomics_MS",978,141,5,950,2.86298568507157,99.4887525562372,95.7446808510638,99.290780141844,95.8781128080175,100,100,-0.00807706701124277,0.800828411400657,-0.202335627900672,0.0161212993042603,17.9233064574878,18.2875656224812,4.64812256087927,22.0311543035245,2.75102849721522,12.830497320318,5.02075231375121,6.60359849268665,-2.12323914689574,0.25283266824419,0.153300512261068,0.0062112745297959,NA,0.0939285047109402,NA,3.5678459466688,-0.144075126918227,0.897215773176505,123,0,0.691688723528151,123,147,5682,0
"MTBLS1041_m_MTBLS1041_metabolite_profiling_mass_spectrometry_v2_maf.tsv","metabolomics_MS",256,69,123,256,0,51.953125,0,82.6086956521739,10.6091485507246,92.7536231884058,81.25,-0.755652801469423,1.38086052161778e-48,-0.45311640858055,9.24517802772051e-05,16.1815754710303,16.4374592701003,6.02236781302845,24.4800051940202,11.0672718743362,3.10474490152258,11.0378168116885,0.184448613132865,-0.481776586526934,0.324142571175788,0.104980043841395,0.766309682785548,NA,1.23793594037956,NA,-2.17760552014741,0.0527074101635375,0.8249318860559,123,5.87176511593791,4.90268401483157,123,89,3568,116
"MTBLS106_m_metabolite_profiling_mass_spectrometry_v2_maf.tsv","metabolomics_MS",8,586,1,8,0,87.5,2.38907849829352,7.50853242320819,5.71672354948805,15.8703071672355,100,0,1,-0.501054684870406,1.43127270599436e-38,22.3904965596734,21.9532413890043,14.5095276074232,33.834923888908,13.8545425091827,0.193124970827611,13.7493164212516,-0.231400683763883,0.502056474353962,0.36369233125772,0.224542704947073,1.04325614573186,NA,1.69956813154978,NA,-0.0210191762619303,-0.000486836301322388,0.978431209478134,123,0.624879692561926,0.95926100175217,NA,8,4358,0
"MTBLS1071_m_MTBLS1071_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv","metabolomics_MS",12,3705,3,3,75,75,71.6329284750337,80.5128205128205,75,100,100,-0.345466813670024,0.271390559806305,NA,NA,22.6603073843574,22.5177976810177,16.5432131126978,30.4255910893845,1.73185299029598,0.189401008510953,1.98153268945677,2.74251739071551,0.875845591513262,0.125729457998568,0.0982145729038979,NA,123,19.3196394714062,NA,-1.76716257845115,0.0394402879746932,0.995632059824762,123,0.448447639638482,5.86803380987578,NA,6,10021,0
