"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"AnophelesAlbimanus.16s_DADA2.taxon_abundance.tsv","microbiome",125,107,1,75,40,99.2,78.5046728971963,99.0654205607477,94.4373831775701,100,100,0.778641177310462,1.16527319224597e-26,-0.192185024653922,0.0473500839217347,4.09258312477211,3.58496250072116,0,10.9121408562957,5.72983522725969,1.2809316709952,6.43115945074955,-0.710966863238085,0.567950874016291,0.315217967235565,0.114084062090276,0.0871778721180771,NA,1.4837634604051,NA,1.38640230671902,-0.105633696725273,0.906050227205533,123,0.871214453056249,2.97377233015924,NA,106,215,0
"Bangladesh_healthy_5yr.16s_DADA2.taxon_abundance.tsv","microbiome",2415,770,1,2405,0.41407867494824,99.9585921325052,83.3766233766234,99.6103896103896,92.9829259767148,100,100,0.441534555415651,8.67735305107095e-116,-0.497531563233261,2.14166484508187e-49,5.84573077862079,5.55458885167764,0,17.1201366064471,8.26773691339503,2.409115220912,8.14784320659389,-0.221306231926933,0.487493568979596,0.0975410753840635,0.0826271804500543,0.0555946325932176,NA,NA,123,1.64976640175873,-0.0870786428383944,0.905619627210235,123,1.74425190766396,2.12214289745962,123,200,6477,0
"BONUS.WGS.taxon_abundance.tsv","microbiome",1279,643,1,1152,9.92963252541048,99.9218139171227,85.3810264385692,99.3779160186625,93.6106284434403,100,100,0.302183146198694,2.05214938839627e-28,-0.330319861621903,7.80704008729033e-18,-3.31944122830893,-3.62878686805708,-14.2877123795494,6.64182835583889,15.2304942370857,7.10128349857805,15.6278787964253,-0.576091251618379,0.237800583069458,0.0721146276860779,0.0536661856023298,0.0388090090880297,NA,NA,123,0.520724868608131,-0.0558774448847002,0.828539033877716,123,1.08179992223153,4.07249145264606,123,171,30767,0
"CAMP.16s_DADA2.taxon_abundance.tsv","microbiome",270,622,1,263,2.59259259259259,99.6296296296296,80.8681672025724,99.0353697749196,92.0906276050971,100,100,0.185223014700126,0.00224393822594969,-0.619921409050291,2.60615470271123e-67,6.55066017903577,6.32192809488736,1,16.7103356087598,9.52258282286706,2.90605677134453,9.89024591312191,-0.607418630949577,0.327355188935562,0.136977068197447,0.086803097763836,0.0603238073631725,NA,0.701744975241233,NA,2.14311588529914,-0.10156794513786,0.904201232128568,123,1.56303249356703,1.35535692290169,123,200,2695,0
"Ciara_V1V3.16s_DADA2.taxon_abundance.tsv","microbiome",128,1725,1,128,0,99.21875,63.8840579710145,99.9420289855072,94.8265398550725,99.9420289855072,100,0.622844712411336,4.16422984812021e-15,-0.27187693236263,1.30357307314669e-30,5.05176966032168,4.75488750216347,0,16.029912661897,6.14696730151981,2.47941289885796,5.95106954706876,1.05244760250929,0.839879263768544,0.164887688894051,0.0595115552431964,NA,123,0.951464758280892,NA,0.141378314185613,0.0633522912952121,0.870788452931479,123,1.96971531035877,4.30571992505363,NA,103,1148,0
"Ciara_V4.16s_DADA2.taxon_abundance.tsv","microbiome",632,1860,1,625,1.10759493670886,99.8417721518987,88.7096774193548,99.7849462365591,95.5169627058663,100,100,-0.353278708402946,5.15437744448529e-20,-0.154472309157904,2.11583148321871e-11,6.35345936671989,6.10852445677817,0,17.6004574102246,5.7572616083201,2.36550808242533,6.74747827252811,0.66874917244553,0.643772531204301,0.307693061105103,0.0852513148450368,NA,123,0.187844806658079,NA,-0.106138938582153,0.0595702881252876,0.873514027034088,123,1.86077194751503,1.6065849874454,123,167,4173,0
"DailyBaby.16s_DADA2.taxon_abundance.tsv","microbiome",2684,617,1,2571,4.21013412816692,99.9627421758569,78.6061588330632,99.5137763371151,94.7988802121703,100,100,-0.0886108265012029,4.27388911812172e-06,-0.401453188908552,2.69582712640003e-25,6.23084705495617,6.10852445677817,0,15.2081581361741,4.08444936185733,1.63877359413536,4.22141827329726,1.83502904312743,0.528934963423251,0.113380369062569,0.0771769809447167,0.0459642005639945,NA,NA,123,-0.362871488504582,0.0330530317572528,0.891144309123724,123,1.30343007846361,0.94790815382743,123,200,3751,0
"DIABIMMUNE_WGS.WGS.taxon_abundance.tsv","microbiome",1149,614,1,982,14.5343777197563,99.9129677980853,83.5504885993485,99.3485342019544,93.636727022223,100,100,0.502581281445259,1.43371424028727e-74,-0.289371274823428,2.61732606915257e-13,-1.95789300856436,-1.9743758178973,-12.0860785183798,6.62255718682954,11.3743563631273,5.96110787483534,11.8606458570379,-0.596213520997615,-0.0164382297699097,0.0771242760755564,0.0578204570300045,0.0404670664393601,NA,NA,123,-0.0117150537165618,-0.0875258092184963,0.799750918511184,123,0.990108074864196,2.88723131685196,123,190,33892,0
"DIABIMMUNE.16s_DADA2.taxon_abundance.tsv","microbiome",3184,1017,1,2917,8.3856783919598,99.9685929648241,84.267453294002,99.9016715830875,95.0430001531749,100,100,0.107784540568857,1.07852092578795e-09,-0.573090554182431,7.71654401150473e-90,6.67275842074915,6.5077946401987,0,17.1883087323159,8.47823899244978,2.87288559462198,8.91587204287548,-0.580036973555767,0.262031686275318,0.119989644785503,0.0735532296757173,NA,123,NA,123,1.6530114136842,-0.0762698281107812,0.85384022997156,123,1.75887407663807,2.27123655530936,123,193,9349,0
"EcoCF.16s_DADA2.taxon_abundance.tsv","microbiome",844,1033,1,818,3.08056872037915,99.8815165876777,88.0929332042594,99.8063891577928,96.8234287470809,100,100,-0.509526448636988,5.91076544360696e-57,-0.311769667541716,1.01137940044512e-24,5.54342100075023,5.04439411935845,0,15.8361490042455,5.1692736737243,2.27568865591048,7.98612867969568,0.146150117037206,0.748029643765027,0.323731994698483,0.0508104491806565,NA,123,0.298529526040733,NA,0.527481461601184,0.086644146953625,0.90991099017753,123,2.03740629303826,3.22765791213086,123,132,2863,0
"EMP_10249_ECAM.16s_DADA2.taxon_abundance.tsv","microbiome",1216,935,1,1035,14.8848684210526,99.9177631578947,79.6791443850267,99.7860962566845,95.374419504644,100,100,0.272878032255018,3.31614891389682e-22,-0.483835627984217,4.98614491540538e-56,6.04319138460751,5.6724253419715,1,15.8411711892485,8.35127384300424,2.45105591656619,7.87839822615691,-0.343774027062707,0.492420724145764,0.111564439141378,0.0814628722438477,0.0659445090377109,NA,NA,123,0.558662478780419,0.0655046256356742,0.863477160053702,123,1.47094691644075,2.27737898500972,123,187,4371,0
"EMP_1064_Bee_Microbiome.16s_DADA2.taxon_abundance.tsv","microbiome",288,1094,1,283,1.73611111111111,99.6527777777778,79.5246800731261,99.6343692870201,96.9930682510664,100,100,0.21425880729178,0.000249369156673559,-0.14120842761824,2.74897178582329e-06,5.50016720477613,5.04439411935845,1,14.7952787070835,11.9082531813633,3.58072415132565,10.4282667430888,-0.300244209675863,0.650247345091011,0.17451969030066,0.0717301300072728,NA,123,0.304790052152727,NA,1.608583360445,-0.0563349463915376,0.918194821583576,123,1.53279168413001,2.0130267049699,123,179,1757,0
"EMP_1927_HMP_V13.16s_DADA2.taxon_abundance.tsv","microbiome",3045,2099,1,2436,20,99.9671592775041,89.6617436874702,99.9523582658409,97.9651738141002,100,100,0.123827401841562,7.0528014405873e-12,-0.340634976360566,3.51444895058778e-58,4.78365907547316,4.52356195605701,1,16.0222377565317,5.62798174721408,2.07820339105904,5.86574824075125,-0.0389536488111979,0.586002794322768,0.0927054457930293,0.066734729426109,NA,123,NA,123,1.03769418779003,0.0128514434278839,0.867906824719207,123,1.72949021370218,2.01025517006592,123,178,3258,0
"EMP_1928_HMP_V35.16s_DADA2.taxon_abundance.tsv","microbiome",5462,1955,1,4423,19.0223361406078,99.9816916880264,87.4680306905371,99.9488491048593,98.410932169343,100,100,0.103737370148011,1.52121858886314e-14,-0.471619218911737,7.80161098967853e-109,4.95093060463212,4.64385618977472,1,15.3383185532402,5.515256413099,1.75699033049365,5.89485354241445,-0.123848895504945,0.563194124775879,0.120805777801985,0.0744607729895271,NA,123,NA,123,1.10605785422868,-0.00760131758518462,0.894464994491065,123,1.77982198980792,2.22341939108021,123,179,3755,0
"EMP_2192_Gilbert_House.16s_DADA2.taxon_abundance.tsv","microbiome",1602,5633,1,1602,0,99.9375780274657,82.2297177347772,99.8579797621161,94.1584093024142,99.9822474702645,100,-0.0808588640007864,0.00119884755475378,-0.418990757813482,2.29025611271161e-238,4.55021353800212,4.16992500144231,1,18.4703252313187,5.13911460862539,1.25605306434613,5.05014585835394,1.92819312552924,1.13755302811215,0.105027393048848,0.0633250096105177,NA,123,NA,123,0.407407689814093,0.0267450576748414,0.816651592236021,123,2.14830434182939,1.63535578349905,123,196,8022,0
"EMP_797_Song_Family.16s_DADA2.taxon_abundance.tsv","microbiome",1055,2081,1,997,5.49763033175355,99.9052132701422,83.0850552618933,99.663623258049,95.886410789563,100,100,0.177411646298486,6.56394756774214e-09,-0.395403524852713,7.83000465254997e-79,5.10103573668861,4.70043971814109,1,16.6548317903947,5.36348862006718,1.44948866181458,5.62047399243182,0.875097234865621,0.888954553640657,0.12988011278255,0.0978227287302423,NA,123,NA,123,-0.245600979740632,0.119811410687032,0.831868249331786,123,2.0230700167088,2.51501072722658,123,178,3587,0
"ENTiCE.16s_DADA2.taxon_abundance.tsv","microbiome",452,823,1,435,3.76106194690266,99.7787610619469,69.8663426488457,99.8784933171324,93.3722405617265,100,100,0.163745525189383,0.000473604735098721,-0.492294816262066,1.869232115915e-51,5.58253301043118,5,0,16.3278508357295,8.90784170963615,2.61743450593596,9.62260030985872,-0.223859579801701,0.630644771693066,0.184047999372748,0.107505247202366,0.0976268610364075,NA,0.67694546285217,NA,1.93745950222479,-0.072575293557541,0.878412407457894,123,1.9594324717479,2.70022024356632,123,177,3073,0
