"datasetID","dataType","nSamples","nAnalytes","minRowNonNaNumber.log2","maxRowNonNaNumber.log2","minRowNaPercentage.log2","maxRowNaPercentage.log2","minColNaPercentage.log2","maxColNaPercentage.log2","percNATotal.log2","percOfRowsWithNAs.log2","percOfColsWithNAs.log2","corSampleMeanNA.log2","corSampleMeanNAPval.log2","corAnalyteMeanNA.log2","corAnalyteMeanNAPval.log2","mean.wNAs.log2","median.wNAs.log2","min.wNAs.log2","max.wNAs.log2","medianSampleVariance.wNAs.log2","medianAnalyteVariance.wNAs.log2","variance.wNAs.log2","kurtosis.wNAs.log2","skewness.wNAs.log2","prctPC1.wNAs.log2","prctPC2.wNAs.log2","bimodalityRowCorr.wNAs.log2","bimodalityRowCorrSeed.wNAs.log2","bimodalityColCorr.wNAs.log2","bimodalityColCorrSeed.wNAs.log2","linearCoefPoly2Row.wNAs.log2","quadraticCoefPoly2Row.wNAs.log2","coefHclustRows.wNAs.log2","coefHclustRowsSeed.wNAs.log2","intensityNAProb50.sd.wNAs.log2","intensityNAProb90.sd.wNAs.log2","intensityNAProbSeed.wNAs.log2","intensityNAProbnSamplesWithProbValue.wNAs.log2","nDistinctValues.log2","nNegativeNumbers.log2"
"E-CURD-10.aggregated_filtered_normalised_counts.mtx","sc_normalized",118,22122,3,118,0,97.4576271186441,32.8632130910406,94.9733297170238,46.6233092603574,97.9793870355302,100,-0.277377167722877,0.00235860239064394,-0.763371468245557,0,3.44381628835095,3.54734087021247,-28.5374091133923,16.3599857699453,11.066295478422,4.29745321945065,11.3656848240137,5.68288762571612,-0.929790187454054,0.0610417228632527,0.0369325430744808,NA,123,0.131719381928827,NA,-1.23412907228361,0.105041739616357,0.854389060414775,123,1.03232394826095,2.43281844196064,NA,118,737159,0
"E-CURD-100.aggregated_filtered_normalised_counts.mtx","sc_normalized",25277,20514,1,25274,0.0118684970526566,99.9960438343158,62.6108998732573,98.9275616652043,89.7860935503626,100,100,0.987761519191835,0,-0.550187845274483,0,7.46068583629245,7.16835621982211,-16.3028887465162,19.2866633392848,2.00470190198733,0.928822782917319,2.76302788356767,8.90851844606861,0.165345784184115,0.142811995221218,0.051355403236892,NA,123,1.15143367829491,123,-5.0277483008664,0.337194390404618,0.759868512371478,123,1.20357808435441,3.92460165205862,123,198,1656258,0
"E-CURD-101.aggregated_filtered_normalised_counts.mtx","sc_normalized",133050,17840,3,133045,0.00375798571965427,99.9977452085682,56.804932735426,99.2152466367713,86.4598270483971,100,100,0.980515292340965,0,-0.555980770922905,0,6.9577919691271,6.56169861654512,-17.7769856842975,19.414270376569,2.46191279454353,1.29692739403122,3.91425717122506,6.86013433614482,-0.0130213485861018,0.151164424556333,0.04893540481059,NA,123,0.828232734222261,123,-1.22452000706424,0.0945130302912629,0.7690022609099,123,1.11989798537312,4.46962073972783,123,195,10537455,0
"E-CURD-102.aggregated_filtered_normalised_counts.mtx","sc_normalized",60005,15302,1,60005,0,99.9983334722107,67.8408051235133,98.6864462161809,94.2792631612159,99.9934649065482,100,0.961590112256609,0,-0.165231997870528,4.20421010084042e-94,8.45468551963895,8.31685876583526,-16.3281665456226,19.2198952353486,3.12534749718074,1.38594424746821,4.33961058548711,14.7529649152204,-1.5492779707271,0.108070252619085,0.042331471835217,NA,123,0.792783985783037,123,-3.44619331850781,0.192435775710249,0.719134662339663,123,1.44982267926169,3.23846612740905,123,195,4042110,0
"E-CURD-11.aggregated_filtered_normalised_counts.mtx","sc_normalized",176,24769,3,176,0,98.2954545454545,37.29662077597,59.025394646534,46.8189250492735,90.6173038879244,100,-0.0397810692958685,0.600137682638086,-0.715803434249543,0,3.20410899737023,3.3843729260053,-29.6131019359162,16.535561074132,12.4439287027373,4.08915296104232,12.3219219961462,5.06946706521709,-0.91940806974115,0.0515441646352619,0.0477892433629478,NA,123,0.103233941469344,NA,-1.1825000887165,0.119234401212975,0.606697440763718,123,0.421522199150543,1.12624528705943,NA,176,1482684,0
"E-CURD-112.aggregated_filtered_normalised_counts.mtx","sc_normalized",34015,24582,3,33809,0.605615169778039,99.9911803616052,65.3486290781873,99.9349117240257,91.5347407417267,100,100,0.938288006744819,0,-0.147090559527614,6.17974599764828e-119,7.29873492249802,7.21839681114338,-16.4924007836033,19.8807058800173,2.29415770045593,2.01457940945678,3.85881064407788,6.10758219635069,-0.273919208894454,0.201683965365839,0.0627923439058904,NA,123,NA,123,-1.82490209176764,0.118523830148269,0.692754261337358,123,1.73605693513635,3.81985562772766,123,173,2435079,0
"E-CURD-114.aggregated_filtered_normalised_counts.mtx","sc_normalized",32926,26528,3,32837,0.270303103930025,99.9908886594181,54.0108564535585,98.5072376357057,81.9887306968355,100,100,0.980331603693773,0,-0.55976495146904,0,5.99032747836927,5.76540548146128,-18.2725568499203,18.9477478751089,2.3239933884548,1.15652036426451,3.28387748644744,5.56238844410522,0.422006184876815,0.133467916335187,0.0367371188239171,NA,123,1.02956146471639,123,-1.07512771171792,0.0993244363974197,0.788345296523776,123,0.922522866685147,4.30363509803235,123,195,7897184,0
"E-CURD-117.aggregated_filtered_normalised_counts.mtx","sc_normalized",7966,16344,3,7919,0.590007532011047,99.9623399447653,57.8193832599119,99.645129711209,90.1870324982497,100,100,0.915096862582511,0,-0.375173023803136,0,8.09307878060632,7.94762478273835,-15.9222591133187,19.5362862274319,1.83268988551746,1.3824337948496,2.85780310079459,10.7143448560903,-0.480506874309507,0.196361456434587,0.058856231330511,NA,123,1.31293399117788,123,-9.30593375421176,0.551790863258608,0.657596451279442,123,1.27152595045443,4.02668368456406,123,184,384936,0
"E-CURD-118.aggregated_filtered_normalised_counts.mtx","sc_normalized",16779,18487,3,16612,0.995291733714762,99.9821205077776,64.9212960458701,99.4049872883648,90.1566146611391,100,100,0.72285561671966,0,-0.288562304487926,0,6.87261583689665,6.53436187317526,-15.8338042417106,19.5274548608637,2.73631598174773,1.22927515110265,3.72342488551575,19.0375424886938,-1.29639011292751,0.148926662161927,0.0538937139008131,NA,123,1.65976638641236,123,-8.0988401653962,0.602876407986011,0.748555171320199,123,2.4185041826419,4.02403365131698,123,161,1017621,0
"E-CURD-119.aggregated_filtered_normalised_counts.mtx","sc_normalized",12657,22792,3,12497,1.26412261989413,99.976297700877,69.1909441909442,99.8815373815374,94.2652100776064,100,100,0.97461295423348,0,-0.321114726719509,0,9.09050750687968,9.15925389765993,-14.3394325786344,19.1209124132835,0.916096598384761,0.786410792471627,1.60730742036709,39.870415852735,-2.93258362388035,0.14963243976979,0.0614599221528876,NA,123,NA,123,-7.33152380223506,0.409383324623193,0.482709184206482,123,1.50844589236638,0.587056907962316,123,157,402796,0
