"prideID","tax","organismParts","experimentTypes","instruments"
"PXD000058","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000044","Homo sapiens (human);Mus musculus (mouse)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000239","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap Velos"
"PXD000052","Mus musculus (mouse)","","Bottom-up proteomics","LTQ Orbitrap Velos"
"PXD000258","Alicycliphilus denitrificans (strain jcm 14587 / bc)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000342","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000084","Apis mellifera ligustica (common honeybee) (italian honeybee)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000182","Arabidopsis thaliana (mouse-ear cress)","","Bottom-up proteomics","LTQ Orbitrap Velos"
"PXD000508","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap Elite"
"PXD000303","Homo sapiens (human)","","Bottom-up proteomics","Synapt MS;Q Exactive"
"PXD000578","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000022","Equus caballus (horse);Bos taurus (bovine);Mus musculus (mouse)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000492","Gallus gallus (chicken)","Cell culture","Bottom-up proteomics","LTQ Orbitrap"
"PXD000494","Lactococcus lactis subsp. lactis il1403","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000493","Homo sapiens (human)","Cell culture","Bottom-up proteomics","LTQ Orbitrap;LTQ Orbitrap Velos"
"PXD000511","Mus musculus (mouse)","","Bottom-up proteomics","LTQ Orbitrap Velos"
"PXD001001","Homo sapiens (human);Mus musculus (mouse)","B cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
"PXD001120","Homo sapiens (human)","Epithelial cell","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD001390","Homo sapiens (human)","","Top-down proteomics","LTQ Orbitrap"
"PXD000297","Toxoplasma gondii rh","","Shotgun proteomics","LTQ Orbitrap"
"PXD000298","Neospora caninum (strain liverpool)","","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD001810","Homo sapiens (human)","Permanent cell line cell;Hela cell","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap Velos;Q Exactive"
"PXD001857","Mus musculus (mouse)","Brain","Top-down proteomics","LTQ Orbitrap"
"PXD001825","Homo sapiens (human)","Epithelial cell;Cell culture","Shotgun proteomics","LTQ Orbitrap"
"PXD002192","Homo sapiens (human)","Cell culture","Gel-based experiment","LTQ Orbitrap Velos"
"PXD001805","Homo sapiens (human)","Epithelial cell of cervix;Cell culture;Hela cell","Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD002549","Homo sapiens (human)","Urine","Shotgun proteomics","Q Exactive"
"PXD000484","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD000485","Homo sapiens (human)","","Bottom-up proteomics","LTQ Orbitrap"
"PXD002605","Pseudomonas aeruginosa pao1","","Shotgun proteomics","Q Exactive"
"PXD002622","Homo sapiens (human)","Lung","Shotgun proteomics","LTQ Orbitrap Velos"
"PXD002694","Saccharomyces cerevisiae (baker's yeast)","","Shotgun proteomics","Q Exactive"
"PXD002103","Homo sapiens (human)","Permanent cell line cell;Kidney","Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics","Q Exactive"
"PXD002537","Drosophila melanogaster (fruit fly)","Embryo;Early embryonic cell","SWATH MS","TripleTOF 6600;LTQ Orbitrap"
"PXD002619","Homo sapiens (human)","Breast cancer cell","Shotgun proteomics","Q Exactive"
"PXD003318","Drosophila melanogaster (fruit fly)","Head","Shotgun proteomics","LTQ Orbitrap"
"PXD002010","Caenorhabditis elegans","Whole body","Shotgun proteomics","LTQ Orbitrap"
"PXD002252","Homo sapiens (human)","Permanent cell line cell;Cell culture","Affinity purification coupled with mass spectrometry proteomics","LTQ Orbitrap"
