"projectId","processedWAlevin","technology"
"E-CURD-10","FALSE","SMART-like"
"E-CURD-100","TRUE","Droplet-based"
"E-CURD-101","TRUE","Droplet-based"
"E-CURD-102","TRUE","Droplet-based"
"E-CURD-11","FALSE","SMART-like"
"E-CURD-112","TRUE","Droplet-based"
"E-CURD-114","TRUE","Droplet-based"
"E-CURD-117","TRUE","Droplet-based"
"E-CURD-118","TRUE","Droplet-based"
"E-CURD-119","TRUE","Droplet-based"
"E-CURD-12","TRUE","Droplet-based"
"E-CURD-120","TRUE","Droplet-based"
"E-CURD-122","TRUE","Droplet-based"
"E-CURD-123","TRUE","Droplet-based"
"E-CURD-124","TRUE","Droplet-based"
"E-CURD-13","TRUE","Droplet-based"
"E-CURD-2","FALSE","SMART-like"
"E-CURD-21","TRUE","Droplet-based"
"E-CURD-3","FALSE","SMART-like"
"E-CURD-4","TRUE","Droplet-based"
"E-CURD-46","TRUE","Droplet-based"
"E-CURD-5","TRUE","Droplet-based"
"E-CURD-52","TRUE","Droplet-based"
"E-CURD-53","TRUE","Droplet-based"
"E-CURD-55","TRUE","Droplet-based"
"E-CURD-56","TRUE","Droplet-based"
"E-CURD-57","TRUE","Droplet-based"
"E-CURD-6","FALSE","SMART-like"
"E-CURD-7","FALSE","SMART-like"
"E-CURD-77","TRUE","Droplet-based"
"E-CURD-79","TRUE","Droplet-based"
"E-CURD-80","TRUE","Droplet-based"
"E-CURD-81","TRUE","Droplet-based"
"E-CURD-82","TRUE","Droplet-based"
"E-CURD-83","TRUE","Droplet-based"
"E-CURD-84","TRUE","Droplet-based"
"E-CURD-85","TRUE","Droplet-based"
"E-CURD-87","TRUE","Droplet-based"
"E-CURD-88","TRUE","Droplet-based"
"E-CURD-89","FALSE","SMART-like"
"E-CURD-9","TRUE","Droplet-based"
"E-CURD-90","TRUE","Droplet-based"
"E-CURD-91","TRUE","Droplet-based"
"E-CURD-92","FALSE","SMART-like"
"E-CURD-94","FALSE","SMART-like"
"E-CURD-95","TRUE","Droplet-based"
"E-CURD-96","FALSE","SMART-like"
"E-CURD-97","FALSE","SMART-like"
"E-CURD-98","TRUE","Droplet-based"
"E-EHCA-2","FALSE","SMART-like"
